ds,yhat,yhat_lower,yhat_upper
2022-12-23,5.301220381320093,5.183915874782816,5.43253768622808
2022-12-26,5.311926942459185,5.183699485160556,5.440423237228328
2022-12-27,5.311132648518476,5.178831568048037,5.433256803668392
2022-12-28,5.312213302197469,5.18827314805792,5.438729963786853
2022-12-29,5.309691796589437,5.183437488736558,5.437049806057297
2022-12-30,5.3120254458466185,5.193706040399155,5.441590682665528
2023-01-02,5.318261109567568,5.186565802023018,5.4431977259508395
2023-01-03,5.315486076782059,5.179770016347587,5.447697642665885
2023-01-04,5.314377452555228,5.173041606589097,5.43155980011471
2023-01-05,5.309487901716033,5.185713655121531,5.450412629748867
2023-01-06,5.309308388352636,5.1795200006673605,5.436523654315394
2023-01-09,5.307506388579989,5.173482796101357,5.432025015589721
2023-01-10,5.3020146695383845,5.171193921005385,5.439187561133787
2023-01-11,5.298233437795833,5.178984054571063,5.420141300268538
2023-01-12,5.290750115084138,5.154673870867893,5.412618660968681
2023-01-13,5.288087297689828,5.162349283379509,5.413154210674
2023-01-16,5.279754834925178,5.158853342240936,5.408541647691221
2023-01-17,5.272455653743645,5.148178289436043,5.409165805732938
2023-01-18,5.267071138368359,5.14226358499303,5.398711045091435
2023-01-19,5.258193354452214,5.131236696578226,5.386001019400674
2023-01-20,5.254345205099225,5.131088019392274,5.377102212538013
2023-01-23,5.243659713544655,5.1173212523975335,5.367585057853771
2023-01-24,5.23594593884244,5.107230977670593,5.363358280914785
2023-01-25,5.230311565872208,5.098232988741927,5.35606472178113
2023-01-26,5.221335424528948,5.091062229712471,5.349847207089513
2023-01-27,5.21752743482895,5.089929562282469,5.337135772849724
2023-01-30,5.207680897206657,5.082734336779459,5.329342812175844
2023-01-31,5.200458054825934,5.073285054225964,5.318112102642451
2023-02-01,5.195412058449647,5.061823849126133,5.325241513792296
2023-02-02,5.187120727219038,5.056501667135117,5.305585439096688
2023-02-03,5.1840955410688645,5.0696970098977046,5.3155015217944594
2023-02-06,5.177233888332335,5.0450387600033775,5.305050564106418
2023-02-07,5.171242182679836,5.033819158083142,5.290715003740464
2023-02-08,5.167559254735523,5.032356419629617,5.287315640842988
2023-02-09,5.1607708428125845,5.03146272788904,5.290354049081267
2023-02-10,5.159395000639908,5.022431858180401,5.289955855270538
2023-02-13,5.158389033064615,5.033097559148359,5.291406747520617
2023-02-14,5.154644196357168,5.0324023784209,5.270285819200757
2023-02-15,5.153341050792101,5.032393805199231,5.2801218068583
2023-02-16,5.149049164432735,5.026386210440621,5.282270042496313
2023-02-17,5.150265110789573,5.018738106961971,5.267101100011437
2023-02-22,5.157487896019483,5.022673701206839,5.285990399590289
2023-02-23,5.155631179009504,5.029056755565618,5.283314821415353
2023-02-24,5.1590997998510835,5.034585126296057,5.284337639546199
2023-02-27,5.171320574401573,5.053317567431558,5.303414183668149
2023-02-28,5.171272829693618,5.043242637078039,5.29009380173898
2023-03-01,5.1731716357314745,5.0473271833336755,5.303372870821168
2023-03-02,5.171506703177435,5.039989251662648,5.30009004349703
2023-03-03,5.174700251231758,5.043502063093935,5.306695821788879
2023-03-06,5.183168569786993,5.055709624725299,5.315250770973816
2023-03-07,5.180899835429923,5.057473763482753,5.311438817893422
2023-03-08,5.180120681415475,5.059491884343702,5.303525226310581
2023-03-09,5.17535311456035,5.0528316093434675,5.29232913642689
2023-03-10,5.175061604131952,5.045003633676057,5.308658030582817
2023-03-13,5.171337890046409,5.047606834972063,5.294132053534888
2023-03-14,5.164650142116652,5.034900862790048,5.300325553297437
2023-03-15,5.159400941494479,5.0226859764935945,5.2866079668888935
2023-03-16,5.150193636895244,5.014175287969096,5.27634464242225
2023-03-17,5.145575265131951,5.022145761950555,5.267303089517822
2023-03-20,5.130353531056379,5.0010461332716165,5.264352239708649
2023-03-21,5.120576026396529,4.999483855573234,5.249189785915742
2023-03-22,5.112716865983318,4.985684588432188,5.236507551452121
2023-03-23,5.101431421388931,4.975039474496208,5.225946379430746
2023-03-24,5.095308184857115,4.969328480816035,5.227077396863526
2023-03-27,5.079247047168367,4.949509526623329,5.220236805549619
2023-03-28,5.070429413926118,4.945278396050102,5.196500701714607
2023-03-29,5.064124605470485,4.9330830235103384,5.202624013063429
2023-03-30,5.05495363257863,4.937927201118598,5.18365360099362
2023-03-31,5.051458738558068,4.915843222391981,5.165108119531274
2023-04-03,5.04574823870629,4.921295775471959,5.17075097433277
2023-04-04,5.040955143668839,4.9192409389872935,5.164688127306788
2023-04-05,5.038823382944479,4.904356671372244,5.162725572284376
2023-04-06,5.033885830282741,4.909810380029784,5.162502699442943
2023-04-10,5.040480712655066,4.913729354080488,5.173298191790055
2023-04-11,5.038954067092529,4.90823124153882,5.162506826503657
2023-04-12,5.0396789414391785,4.915714183295552,5.171778593488867
2023-04-13,5.037136236492535,4.913240308836251,5.15716805422949
2023-04-14,5.0397387971724985,4.913752510576104,5.164042557111241
2023-04-17,5.048059493511791,4.917233676162148,5.177387112054463
2023-04-18,5.0462523122745,4.920515950108538,5.168513606963278
2023-04-19,5.046175126618473,4.9255426790500385,5.164368010976824
2023-04-20,5.042341099945931,4.924931352862548,5.167686027984087
2023-04-24,5.044184681379255,4.913631469569771,5.1689170423249395
2023-04-25,5.03943647981099,4.911690821484948,5.164056574967297
2023-04-26,5.036288600539276,4.913103069016841,5.1609177888280575
2023-04-27,5.029326406655736,4.900607352392977,5.1606626998431
2023-04-28,5.027076185591084,4.895552913611903,5.1514412956780875
2023-05-02,5.012257959722241,4.88455895670331,5.1450135651909195
2023-05-03,5.006963538245484,4.867294566991051,5.12005112684345
2023-05-04,4.998177591278141,4.865924523870977,5.1332934297779245
2023-05-05,4.994448060922465,4.86169292548654,5.103626256456321
2023-05-08,4.984510300629973,4.851619503310687,5.109103821792186
2023-05-09,4.9772397394457775,4.851405128302065,5.106821579781876
2023-05-10,4.972167048759868,4.845809242470965,5.097739584412844
2023-05-11,4.963876140692833,4.836568814341384,5.088935956473161
2023-05-12,4.960875949494339,4.832203061233107,5.090673941188735
2023-05-15,4.954080595011312,4.830219556198405,5.0856906902444745
2023-05-16,4.948015261807743,4.823230472043137,5.077167268951178
2023-05-17,4.944146917764812,4.818558471853138,5.07224407150448
2023-05-18,4.937014998061381,4.811113745659254,5.057977224624414
2023-05-19,4.935088129317904,4.801591587812368,5.064086055134455
2023-05-22,4.9306817592594525,4.800482465069418,5.057848651366701
2023-05-23,4.925064813587975,4.793122389224532,5.050310217559386
2023-05-24,4.921454737852592,4.799355986630285,5.04272051813016
2023-05-25,4.914393378616979,4.784685322648811,5.034418746783659
2023-05-26,4.912359719285644,4.777018461461623,5.0351093775746225
2023-05-29,4.906781532579387,4.784745354032966,5.031223674185565
2023-05-30,4.900592092810648,4.78193536341656,5.032168743626556
2023-05-31,4.896381568813207,4.768417456468152,5.025563142364116
2023-06-01,4.888734335955536,4.75099655074163,5.022474639502915
2023-06-02,4.886173237181302,4.7622734097701365,5.016292609768363
2023-06-05,4.879793423875957,4.758968103410963,5.007893590539336
2023-06-06,4.8737283300982925,4.741908453448071,4.999551679928699
2023-06-07,4.869893340709811,4.746891626893828,4.996988491253194
2023-06-09,4.861282516625454,4.7366940831992475,4.983994529889125
2023-06-12,4.85957597996423,4.733261250523495,4.988791773587289
2023-06-13,4.855665081123596,4.724198548076403,4.976821779218311
2023-06-14,4.8542556133851065,4.726109167183759,4.983224499897497
2023-06-15,4.849929941022261,4.720886193713554,4.975118215801715
2023-06-16,4.851195830853611,4.724927731641377,4.9724759177791995
2023-06-19,4.858990561296086,4.7238214069384465,4.989045313477272
2023-06-20,4.858378137565589,4.732493196885878,4.988870818766087
2023-06-21,4.860250431771119,4.728886387733501,4.988651196847553
2023-06-22,4.859139813783483,4.737122921434037,4.98196449647698
2023-06-23,4.863505351410663,4.7390736080302025,4.99111189523731
2023-06-26,4.882606346101968,4.750137354061444,5.008618111904556
2023-06-27,4.8852561688248395,4.763561529688951,5.017401899580988
2023-06-28,4.8900867915348885,4.765181256679642,5.013211777385254
2023-06-29,4.891609199948363,4.766778804035555,5.004653690469915
2023-06-30,4.898267543430151,4.77380103362015,5.025533181073964
2023-07-03,4.919009557464213,4.788525136286912,5.043676031313671
2023-07-04,4.921522613367453,4.786815957702431,5.054475499991356
2023-07-05,4.925895628674383,4.803570401218347,5.060496225003996
2023-07-06,4.92665944143035,4.792166087445309,5.050111231349966
2023-07-07,4.932281848469299,4.807066230042496,5.059131629064608
2023-07-10,4.9485278655424505,4.832000883598176,5.068222444073602
2023-07-11,4.949178576717252,4.823078038297279,5.073142233604222
2023-07-12,4.951557543925108,4.82676386125384,5.082938340581853
2023-07-13,4.950224431595066,4.8197989253506215,5.07757018612826
2023-07-14,4.95367409434524,4.827219169648519,5.085645581094489
2023-07-17,4.963180839131836,4.833962950317768,5.089546467843652
2023-07-18,4.961574968263046,4.8332752689251,5.087994427690139
2023-07-19,4.961716339166806,4.833387290621667,5.085311893629156
2023-07-20,4.958174520685568,4.835096741279158,5.086703487525127
2023-07-21,4.95945153433263,4.827515571639459,5.088394609681296
2023-07-24,4.962695138437444,4.832674315141452,5.092655744824847
2023-07-25,4.959091543857694,4.832346260229885,5.081766015445733
2023-07-26,4.957280687068944,4.834671403566491,5.079208133392303
2023-07-27,4.951832374188027,4.822313924152954,5.079563974806202
2023-07-28,4.951249556532783,4.826857497078478,5.08870787489718
2023-07-31,4.949222462886831,4.82739381389319,5.07130143805718
2023-08-01,4.943983262865298,4.816211428559745,5.067559329940542
2023-08-02,4.940611643463431,4.8173139822756506,5.074077425051666
2023-08-03,4.933688990815263,4.803222306064251,5.065913493338177
2023-08-04,4.931731683528967,4.807237494673688,5.056601724572736
2023-08-07,4.926335118869466,4.797439593369548,5.047419917017563
2023-08-08,4.920279268699063,4.794478766138017,5.043005991650861
2023-08-09,4.916271554609396,4.7838957204836845,5.048762787055409
2023-08-10,4.908908179264218,4.787794419963742,5.026875149347939
2023-08-11,4.906718316380798,4.782965841762531,5.041947834342819
2023-08-14,4.901956571833705,4.775181455887883,5.020141350620444
2023-08-15,4.896565316923768,4.775168536785799,5.027105891529357
2023-08-16,4.893441934986031,4.773707265859906,5.013773158402758
2023-08-17,4.887171203384184,4.765897379172239,5.017688993081355
2023-08-18,4.886265777137224,4.756756214565548,5.0053083405194005
2023-08-21,4.886269466650095,4.765229307410477,5.01645992964882
2023-08-22,4.8826692562963085,4.768517702382067,5.019821125906563
2023-08-23,4.881378537490134,4.763178736483516,5.010313610050743
2023-08-24,4.876942571857623,4.753621563125545,5.008654340481514
2023-08-25,4.8778333498010875,4.745392825464599,4.990169527909527
2023-08-28,4.8825934077923305,4.74753099428991,5.014098513988172
2023-08-29,4.880244251150559,4.759137120480544,4.998873689785199
2023-08-30,4.879984547387246,4.7585476338875425,5.011048294149578
2023-08-31,4.876335515212483,4.749857683109489,4.9989777391417105
2023-09-01,4.877751542520476,4.752050793013558,4.993240033966503
2023-09-04,4.882452739053037,4.757145759232164,5.012766100334671
2023-09-05,4.879557970840728,4.755637058981272,5.0040715107064715
2023-09-06,4.878519887075484,4.745859274323365,4.997059831306436
2023-09-08,4.8741605549007,4.747561179394749,4.998630870117433
2023-09-11,4.874909598507472,4.748685125511913,5.0053499862607795
2023-09-12,4.870706589566909,4.74253680180429,5.001288985811819
2023-09-13,4.86846240713856,4.7442263519911405,4.9930794032528185
2023-09-14,4.8627881380276055,4.739740403970343,4.996406038644169
2023-09-15,4.862233884022108,4.73472867256334,4.979530007776664
2023-09-18,4.862345934243972,4.7407443445193,4.986386394936792
2023-09-19,4.858685253240146,4.732723123624717,4.9900147340262775
2023-09-20,4.857411278049694,4.742231909454909,4.977436633717258
2023-09-21,4.853150549030242,4.733394927976465,4.983531950259994
2023-09-22,4.854457420189237,4.724316133898011,4.983991790334164
2023-09-25,4.8627030391085295,4.737959829008241,4.985024692537369
2023-09-26,4.862498774916454,4.7325704093975975,4.996369008502192
2023-09-27,4.864972786169789,4.726835776197908,4.995144112819552
2023-09-28,4.864687431024617,4.744896093118326,4.980961129723939
2023-09-29,4.87012414545151,4.738598514324223,4.9940847603919085
2023-10-02,4.890859491721253,4.766977568057932,5.017279849672028
2023-10-03,4.8945569523837245,4.771267842830197,5.014174604542713
2023-10-04,4.900652016797939,4.781580343354493,5.027218165543917
2023-10-05,4.903620190762918,4.777331533750985,5.034870659201018
2023-10-06,4.911861187898367,4.785919434785179,5.037567250358034
2023-10-09,4.937616939471781,4.8058209655934885,5.0659942168828795
2023-10-10,4.941677741643145,4.815028911135315,5.065946794534158
2023-10-11,4.947423339465202,4.819048414994175,5.079517638688386
2023-10-13,4.9557584166030475,4.826082211200178,5.087116010447655
2023-10-16,4.972035316500433,4.842489356754408,5.096093208755661
2023-10-17,4.971737293301122,4.850362611311634,5.098714739496344
2023-10-18,4.9713867827873575,4.8480366704333155,5.102148714444664
2023-10-19,4.96678698933427,4.846264728365191,5.099760504536829
2023-10-20,4.966437131756847,4.836870367832354,5.0909451779019985
2023-10-23,4.961612261853458,4.844626182621946,5.086383636708522
2023-10-24,4.954412270223761,4.839520192008033,5.075999072614376
2023-10-25,4.948665658440652,4.824248020535365,5.068695887580616
2023-10-26,4.9390288992401095,4.8082503355210005,5.056619505545703
2023-10-27,4.934100763518676,4.804021967319658,5.0511095311724015
2023-10-30,4.9191386285087635,4.783683968614388,5.050857448080031
2023-10-31,4.909977716574991,4.793331447967112,5.038375483860503
2023-11-01,4.903052323988933,4.77315187211439,5.0368354951309176
2023-11-03,4.8885393679158815,4.763628927530232,5.015581339068447
2023-11-06,4.87948299196763,4.749582087643388,5.003583495167319
2023-11-07,4.873682644824229,4.744134852454389,5.0043641800341625
2023-11-08,4.870705293035355,4.744094781960102,4.994557321336139
2023-11-09,4.865144802212091,4.750669042503442,4.991801142868797
2023-11-10,4.865511804098497,4.745238594017431,4.987079569348902
2023-11-13,4.872534353697188,4.749546816841378,4.998015434044951
2023-11-14,4.872240524397203,4.747865084677559,4.993446661807726
2023-11-16,4.874326500626773,4.748167080685398,5.007194373496509
2023-11-17,4.879624923139878,4.763574413477086,5.009758836879451
2023-11-20,4.898990731623594,4.773416923888663,5.024968393673655
2023-11-21,4.90180210089375,4.772675169217923,5.026278232382281
2023-11-22,4.906770599451885,4.774375770925719,5.03638428401605
2023-11-23,4.9083760146567466,4.778517230593257,5.029421727060288
2023-11-24,4.915035828287624,4.7833950849895785,5.0365899124852165
2023-11-27,4.935107875636992,4.805470811666175,5.0537344892159695
2023-11-28,4.937141389734005,4.803687133018902,5.055093116569771
2023-11-29,4.940906999173536,4.809070237296127,5.06702127994941
2023-11-30,4.94094529421785,4.816834859293531,5.072488721237938
2023-12-01,4.945739944244857,4.809953754331203,5.059883985324045
2023-12-04,4.9591302464946505,4.834770409658799,5.088084064632123
2023-12-05,4.958808236452081,4.82847825191105,5.0720044116461835
2023-12-06,4.960264503970599,4.828559407815203,5.095245275230197
2023-12-07,4.958098338988419,4.833700606481385,5.08762025326224
2023-12-08,4.960845090485632,4.8357994995177975,5.084738117650391
2023-12-11,4.9694203371498755,4.83232263770439,5.091447501141973
2023-12-12,4.968018542242703,4.843109881606279,5.1028019879219135
2023-12-13,4.968673994082165,4.837984103186682,5.096588181484058
2023-12-14,4.965981024914896,4.833385983099733,5.098584387065557
2023-12-15,4.969390326513348,4.840147955852764,5.0974318749837355
2023-12-18,4.981248653749683,4.855588726716228,5.100560881935879
2023-12-19,4.981252453703036,4.854049485031166,5.10799248861
2023-12-20,4.983396970294923,4.856741324986347,5.107570443120502
2023-12-21,4.982229122831571,4.85927923684613,5.106574488260207
2023-12-22,4.986221962768489,4.854588981842734,5.120848784882112
2023-12-26,4.999392182379521,4.876195529009944,5.129246763401808
2023-12-27,5.0014126411169855,4.875414449569059,5.130421567786922
2023-12-28,4.999881135454653,4.87015522747508,5.131724750577609
2023-12-29,5.003252644371023,4.883585632879585,5.127836507643593
2024-01-02,5.011256842725122,4.8953244921951935,5.136752519479867
2024-01-03,5.0113528014895685,4.870643703417057,5.133878246049954
2024-01-04,5.007681535134513,4.882459240916517,5.142025819343774
2024-01-05,5.008726670148376,4.879500529238806,5.1234310281365705
2024-01-08,5.010565613874978,4.885880254410998,5.134126162583974
2024-01-09,5.0062548069145265,4.877733827703351,5.138734691072664
2024-01-10,5.003628782323054,4.868010783565274,5.130172139919743
2024-01-11,4.997270524838338,4.866178107510423,5.125643032028333
2024-01-12,4.995699079055679,4.8607001854696845,5.118806310767385
2024-01-15,4.9904168310759,4.859456391052117,5.126266895429776
